id	signs_file	signs_offset	signs_length	signs_type	signs_lang	translation	translation_lang	glosses	topic	signer_id
-00cp1iGiDw_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_7-5-rgb_front.npy	1422	645	i3d	asl	So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.	en		3	
-00cp1iGiDw_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_8-5-rgb_front.npy	2069	886	i3d	asl	The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.	en		3	
-00cp1iGiDw_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-00cp1iGiDw_9-5-rgb_front.npy	2955	294	i3d	asl	cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.	en		3	
-06_nJnhORg_0-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_0-5-rgb_front.npy	106	531	i3d	asl	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.	en		5	
-06_nJnhORg_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_1-5-rgb_front.npy	376	72	i3d	asl	But things just don't go right from the very beginning.	en		5	
-06_nJnhORg_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_10-5-rgb_front.npy	2803	152	i3d	asl	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend.	en		5	
-06_nJnhORg_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_11-5-rgb_front.npy	2954	108	i3d	asl	So Thursdays are really jam-packed.	en		5	
-06_nJnhORg_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_12-5-rgb_front.npy	3061	320	i3d	asl	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.	en		5	
-06_nJnhORg_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_13-5-rgb_front.npy	3379	240	i3d	asl	And, I had one of those days where I just woke up and things just didn't want to go my way.	en		5	
-06_nJnhORg_14-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_14-5-rgb_front.npy	3618	164	i3d	asl	So I...I continued to fight through it, fight through it...didn't feel real great.	en		5	
-06_nJnhORg_15-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_15-5-rgb_front.npy	3781	186	i3d	asl	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late.	en		5	
-06_nJnhORg_16-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_16-5-rgb_front.npy	3966	272	i3d	asl	So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked.	en		5	
-06_nJnhORg_17-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_17-5-rgb_front.npy	4237	422	i3d	asl	And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras.	en		5	
-06_nJnhORg_18-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_18-5-rgb_front.npy	4658	243	i3d	asl	I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car.	en		5	
-06_nJnhORg_19-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_19-5-rgb_front.npy	4900	68	i3d	asl	And, so, that was kind of tough.	en		5	
-06_nJnhORg_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_2-5-rgb_front.npy	657	514	i3d	asl	You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working.	en		5	
-06_nJnhORg_20-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_20-5-rgb_front.npy	4967	291	i3d	asl	So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job.	en		5	
-06_nJnhORg_21-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_21-5-rgb_front.npy	5606	21	i3d	asl	So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better.	en		5	
-06_nJnhORg_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_3-5-rgb_front.npy	1170	487	i3d	asl	Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home.	en		5	
-06_nJnhORg_4_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_4_5-5-rgb_front.npy	1656	543	i3d	asl	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.	en		5	
-06_nJnhORg_6_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_6_7-5-rgb_front.npy	2198	261	i3d	asl	And...and that makes it tough for me, I don't...I don't like to do that at all. So that's probably the hardest part, is, if I don't start my day right.	en		5	
-06_nJnhORg_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_8-5-rgb_front.npy	2458	233	i3d	asl	So, I kind of have to mentally prepare myself for my day, so, that's probably the hardest day for me, is not preparing myself.	en		5	
-06_nJnhORg_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-06_nJnhORg_9-5-rgb_front.npy	2690	114	i3d	asl	One of my toughest days are Thursdays.	en		5	
-08ZGCviCm4_0-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_0-5-rgb_front.npy	18	278	i3d	asl	Hello welcome my name is Julio Nutt and I am a master instructor of the Jim McLean Golf School in Miami, Florida.	en		1	
-08ZGCviCm4_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_1-5-rgb_front.npy	303	186	i3d	asl	In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.	en		1	
-08ZGCviCm4_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_2-5-rgb_front.npy	506	175	i3d	asl	In golf you have got to learn to shift your weight forward in order to hit the ball and transfer your weight into your left side.	en		1	
-08ZGCviCm4_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_3-5-rgb_front.npy	712	411	i3d	asl	But many amateurs when hitting the ball they hang to the right side, they get their arms really close and tight to their bodies and they have a lot of difficulty transferring their weight into their left side.	en		1	
-08ZGCviCm4_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_4-5-rgb_front.npy	1126	438	i3d	asl	Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.	en		1	
-08ZGCviCm4_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_5-5-rgb_front.npy	1565	226	i3d	asl	So right now I'm not going to think about hitting the golf ball, I'm going to think about throwing the shaft.	en		1	
-08ZGCviCm4_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_6-5-rgb_front.npy	1812	334	i3d	asl	So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.	en		1	
-08ZGCviCm4_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_7-5-rgb_front.npy	2171	91	i3d	asl	That is a great tip that I give to a lot of my students.	en		1	
-08ZGCviCm4_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_8-5-rgb_front.npy	2262	196	i3d	asl	When hitting the ball think about throwing the club and that is going to generate extension and weight transfer.	en		1	
-08ZGCviCm4_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-08ZGCviCm4_9-5-rgb_front.npy	2459	148	i3d	asl	This is Julio Nutt at the Jim McLean Golf School.	en		1	
-0BynF9TSNI_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_1-5-rgb_front.npy	286	309	i3d	asl	Today I'm going to take you back into time and I'm going to show you one of my grandmother's favorite things to make the kids and that was sweet bruschetta.	en		6	
-0BynF9TSNI_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_10-5-rgb_front.npy	1651	239	i3d	asl	This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.	en		6	
-0BynF9TSNI_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_11-5-rgb_front.npy	1891	63	i3d	asl	The kids will love you for it.	en		6	
-0BynF9TSNI_12-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_12-5-rgb_front.npy	1954	143	i3d	asl	I'll show you the ingredients, utensils it's literally 15 minutes and it's done.	en		6	
-0BynF9TSNI_13-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_13-5-rgb_front.npy	2103	21	i3d	asl	I hope you make it.	en		6	
-0BynF9TSNI_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_2-5-rgb_front.npy	614	126	i3d	asl	Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.	en		6	
-0BynF9TSNI_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_4-5-rgb_front.npy	1027	138	i3d	asl	But today we're going to show you one for the kids and especially the big kids like me.	en		6	
-0BynF9TSNI_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_5-5-rgb_front.npy	1165	43	i3d	asl	I mean this is nice.	en		6	
-0BynF9TSNI_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_6-5-rgb_front.npy	1208	143	i3d	asl	You're going to use a whole bunch of things like bananas is the main thing.	en		6	
-0BynF9TSNI_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_7-5-rgb_front.npy	1366	128	i3d	asl	When you put in beneath that flame, it glazes and just comes out spectacular.	en		6	
-0BynF9TSNI_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_8-5-rgb_front.npy	1499	72	i3d	asl	I'm going to show you all the ingredients of this recipe.	en		6	
-0BynF9TSNI_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0BynF9TSNI_9-5-rgb_front.npy	1581	65	i3d	asl	This is at least 60, 70s years old I think.	en		6	
-0FA6OhxZSE_0-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_0-5-rgb_front.npy	16	58	i3d	asl	DAVID CLEMEN: Hi.	en		2	
-0FA6OhxZSE_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_10-5-rgb_front.npy	2550	179	i3d	asl	I'm left-handed but I played sports with right, so I do squeegee with the right hand.	en		2	
-0FA6OhxZSE_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_11-5-rgb_front.npy	2728	134	i3d	asl	And so, that's squeegeeing the second color.	en		2	
-0FA6OhxZSE_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_2-5-rgb_front.npy	365	219	i3d	asl	Alright, now that I've plopped my white paint, I'm going to pick up my favorite tool again.	en		2	
-0FA6OhxZSE_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_3-5-rgb_front.npy	583	101	i3d	asl	And I'm just going to come in here and just kinda fill it out.	en		2	
-0FA6OhxZSE_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_4-5-rgb_front.npy	683	814	i3d	asl	And now, when you mix the red and white in big areas, if it's too much red and you don't move it fast enough, you'll start to get pink so I want to try and keep the integrity of the white and I'm just going to move that fast, and see how--I don't know if you can see it, but since the paint has kind of dried quickly on this paint on the wood, it's already created a texture underneath of it.	en		2	
-0FA6OhxZSE_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_5-5-rgb_front.npy	1496	146	i3d	asl	So, now, I'm getting this texture of the paint underneath of it.	en		2	
-0FA6OhxZSE_6-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_6-5-rgb_front.npy	1641	229	i3d	asl	So, I'm just going to come in here and do these big squeegee marks and not going to go too crazy with it.	en		2	
-0FA6OhxZSE_7-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_7-5-rgb_front.npy	1869	83	i3d	asl	And I'm not trying to cover up all the red.	en		2	
-0FA6OhxZSE_8-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_8-5-rgb_front.npy	1951	267	i3d	asl	I'm just trying to get certain areas and show the white on the top of the red.	en		2	
-0FA6OhxZSE_9-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0FA6OhxZSE_9-5-rgb_front.npy	2217	334	i3d	asl	And then, I can come in and I can actually just do almost like, I guess you would say it's like almost a karate chop or samurai swing to the right or left.	en		2	
-0JdYlTf9Y8_0_1-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_0_1-5-rgb_front.npy	8	310	i3d	asl	In this clip we're going to talk about how to buy a trophy. Most people will come into my show room and they'll ask me how much is a twenty inch trophy.	en		2	
-0JdYlTf9Y8_10-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_10-5-rgb_front.npy	2136	243	i3d	asl	So when it comes to buying a trophy, it's not how tall it is for the dollar.	en		2	
-0JdYlTf9Y8_11-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_11-5-rgb_front.npy	2378	71	i3d	asl	It's really, what you get for your dollar.	en		2	
-0JdYlTf9Y8_2-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_2-5-rgb_front.npy	317	252	i3d	asl	And I say to them we don't sell trophies by the inch, and I give them this fine example here.	en		2	
-0JdYlTf9Y8_3-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_3-5-rgb_front.npy	568	45	i3d	asl	This is a forty-eight inch trophy.	en		2	
-0JdYlTf9Y8_4-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_4-5-rgb_front.npy	612	190	i3d	asl	If you go to any trophy store and they can offer you this forty-eight inch trophy for as little as $20.	en		2	
-0JdYlTf9Y8_5-5-rgb_front	/path_to_features/how2sign/i3d_features/train/-0JdYlTf9Y8_5-5-rgb_front.npy	855	225	i3d	asl	As you can see, if you were to buy a trophy by the inch, someone could sell you this and you wouldn't be very happy with it.	en		2	
